id,birthday,civility,marital_status,has_account_bank,children_number,address,country,city,municipality,neighborhood,monthly_income,occupational_function,activity_sector_id,contract_type,monthly_charge,debt,professional_experience,previous_dwellings,persons_dependents,created_at,updated_at
c7a1beee-ae47-422e-bdbf-e1b142dcc1bc,1968-02-13 17:21:34.132,Miss,Married,False,8,174 Avenue Jean Mermoz,Côte d'Ivoire,Man,Centre Man,Quartier Central,790000.0,Direct Configuration Engineer,f2e5c15a-7b75-4b30-8eb4-bd6adf045582,Interim,295680.0,502095.0,2,4,1,2024-08-01,2025-09-10 09:24:02.659
147276ef-e021-4a59-93ad-9bac0ef9012d,2003-11-16 13:57:59.049,Dr.,Divorced,False,9,810 Boulevard de Marseille,Côte d'Ivoire,Divo,Centre Divo,Quartier Central,385000.0,Senior Mobility Associate,2670fc77-ffc3-401e-bafa-6d96e167f9b0,CDI,273830.0,589250.0,34,1,4,2024-08-01,2025-09-10 09:24:02.664
8fef64a1-eb44-4393-8844-63fa3877a007,1961-09-14 21:57:50.633,Mrs.,Single,True,7,67 Avenue Nogués,Côte d'Ivoire,Abidjan,Koumassi,Grand-Campement,770000.0,National Interactions Planner,d742faba-923c-45f8-a20f-7150b7c0be2d,CDI,394735.0,502035.0,19,1,1,2024-08-01,2025-09-10 09:24:02.668
3a953cce-a11d-41a7-8f68-8a7e8bc3556f,1967-04-18 22:16:54.454,Mr.,Married,True,0,649 Boulevard de Marseille,Côte d'Ivoire,Gagnoa,Centre Gagnoa,Quartier Central,250000.0,District Implementation Planner,693fd115-bad6-4d56-b9a2-b3b266cb61c3,Informel,624310.0,218535.0,23,1,1,2024-08-01,2025-09-10 09:24:02.672
a62aba25-39de-4fcf-bfd2-b289d54b6d28,1975-08-24 22:14:22.319,Mrs.,Widowed,True,9,286 Avenue Nogués,Côte d'Ivoire,Korhogo,Centre Korhogo,Quartier Central,485000.0,Human Applications Specialist,607ee45b-5db0-43ba-acd5-d422643993bc,Interim,1256220.0,111260.0,35,0,3,2024-08-01,2025-09-10 09:24:02.676
623066f0-017b-4a4f-9f5b-cf1a466ba578,1993-06-25 08:42:26.191,Ms.,Single,False,2,739 Rue du Commerce,Côte d'Ivoire,Grand-Bassam,Centre Grand-Bassam,Quartier Central,335000.0,Regional Accounts Liaison,1adbce53-136c-4988-b71c-d3b2dda93fd8,CDI,35035.0,69575.0,27,5,7,2024-08-01,2025-09-10 09:24:02.679
4eb99916-258e-4e3a-9768-d9453004f7c6,1985-05-04 12:40:50.202,Ms.,Divorced,True,1,661 Rue des Jardins,Côte d'Ivoire,Yamoussoukro,Centre Yamoussoukro,Quartier Central,290000.0,Legacy Branding Producer,b8812b5b-d10b-4085-bba0-b6e05980429e,Independant,475215.0,472685.0,29,0,3,2024-08-01,2025-09-10 09:24:02.683
7f35186e-e753-407e-9260-629368584c50,2007-04-06 08:22:50.366,Dr.,Widowed,True,2,345 Boulevard de la République,Côte d'Ivoire,Man,Centre Man,Quartier Central,225000.0,Human Identity Officer,d228420b-9a00-42bf-9e72-67242f2d4c8c,CDD,371295.0,105180.0,0,1,0,2024-08-01,2025-09-10 09:24:02.686
2994ce24-8e95-4d29-90ca-5190e286b47f,1984-05-31 23:38:09.997,Mr.,Single,False,10,809 Boulevard de Marseille,Côte d'Ivoire,Daloa,Centre Daloa,Quartier Central,865000.0,Customer Program Liaison,b3ceb95c-84da-4e96-9030-d9186fc9ac7b,Independant,2776030.0,1409530.0,22,2,6,2024-08-01,2025-09-10 09:24:02.690
4b5fbef5-353d-45db-a2a5-be632c9b64ab,1977-01-05 08:46:39.194,Miss,Single,False,6,797 Boulevard Hassan II,Côte d'Ivoire,Bouaké,Centre Bouaké,Quartier Central,430000.0,Future Accountability Representative,4b5f4ecf-bd8f-4623-ab44-52dbe4e2da8c,CDI,532845.0,295155.0,8,5,6,2024-08-01,2025-09-10 09:24:02.694
