id,birthday,civility,marital_status,bancarise,children_number,address,country,cty_name,city,neighborhood,monthly_income,occupational_function,activity_sector_id,contract_type,monthly_charge,debt,professional_experience,previous_dwellings,persons_dependents,created_at,updated_at,cleaned_at,source_table,cleaning_version,milieu_resid,age_num,sex,region_name
5a09bfe7-d2a5-48ed-b4a1-cfe218cb8ebc,1988-02-10 08:42:26.130,mrs.,Célibataire,1,9,112 boulevard de marseille,côte d'ivoire,DIVO,DIVO,quartier central,450000.0,national group officer,20f6ae39-4b2a-4515-b155-90b9d986aadd,Fonctionnaire,77095.0,376120.0,0,1,0,2024-08-01,2025-10-17 15:42:02.714,2025-11-14T00:05:35.864066+00:00,users,v1.0,Urbain,37,F,LÔH-DJIBOUA
32fc5161-c9a5-4465-9659-e8a0244dfde4,1978-02-21 13:47:53.144,mrs.,Veuf(ve),1,5,4 avenue jean mermoz,côte d'ivoire,BOUAKÉ,BOUAKÉ,quartier central,600000.0,human usability consultant,c7361074-ee93-4d34-9809-2f421aebcc4c,CDD,958110.0,735040.0,6,4,1,2024-08-01,2025-10-17 15:42:01.796,2025-11-14T00:05:35.864066+00:00,users,v1.0,Urbain,47,F,GBEKE
d00dc51a-cfcf-4d33-844f-3735d5f48c55,1996-06-20 14:22:43.356,ms.,Célibataire,1,6,406 boulevard françois mitterrand,côte d'ivoire,ANYAMA,ANYAMA,quartier central,600000.0,principal intranet technician,77d86d10-8a1c-46e7-a382-72a31927deb9,Independant,532110.0,165535.0,18,2,6,2024-08-01,2025-10-17 15:42:02.762,2025-11-14T00:05:35.864066+00:00,users,v1.0,Urbain,29,F,AUTONOME D'ABIDJAN
abd739ba-c384-46bc-ba90-2111421883bf,2001-07-16 18:06:10.901,miss,Célibataire,0,5,571 boulevard lagunaire,côte d'ivoire,SAN-PÉDRO,SAN-PÉDRO,quartier central,190000.0,principal quality associate,4519368d-3e62-4c36-ac20-6fac383e6ebb,CDI,217115.0,149140.0,24,5,6,2024-08-01,2025-10-17 15:42:02.397,2025-11-14T00:05:35.864066+00:00,users,v1.0,Urbain,24,F,SAN-PEDRO
901d435b-afae-4ef1-b6e1-290a5ff95ac3,1966-03-06 05:08:37.875,mrs.,Veuf(ve),0,2,320 boulevard hassan ii,côte d'ivoire,DALOA,DALOA,quartier central,520000.0,senior functionality specialist,6edc7ab3-827f-4e91-a5ee-d9c086ddddee,CDD,920535.0,730895.0,20,5,7,2024-08-01,2025-10-17 15:42:01.940,2025-11-14T00:05:35.864066+00:00,users,v1.0,Urbain,59,F,HAUT-SASSANDRA
16764a2c-1894-4c3e-8e54-ebae9eb10235,1966-08-05 07:10:22.935,dr.,Marié(e),1,4,166 boulevard de marseille,côte d'ivoire,ANYAMA,ANYAMA,quartier central,895000.0,dynamic security liaison,1bd8ebfb-a8d9-4abf-94b0-6c52c7b32684,Fonctionnaire,1588580.0,1358880.0,11,1,0,2024-08-01,2025-10-17 15:42:02.300,2025-11-14T00:05:35.864066+00:00,users,v1.0,Urbain,59,M,AUTONOME D'ABIDJAN
f95c0f22-ca9a-4ef0-b7fe-8837ac4bc9a4,2003-10-12 15:32:56.049,mr.,Marié(e),0,6,192 rue des bananiers,côte d'ivoire,GAGNOA,GAGNOA,quartier central,245000.0,corporate data orchestrator,54e98a95-7ae2-484c-952c-bde0851e7d17,Fonctionnaire,743480.0,113280.0,9,2,0,2024-08-01,2025-10-17 15:42:02.638,2025-11-14T00:05:35.864066+00:00,users,v1.0,Urbain,22,M,GÔH
963e6b1c-7f38-4d33-954c-f4603b8de1ff,1979-10-14 07:55:45.632,ms.,Célibataire,1,3,556 boulevard françois mitterrand,côte d'ivoire,ABIDJAN,ABOBO,sagbé,540000.0,forward interactions administrator,9fef1d63-115a-484f-9380-2c08c735e7c6,Independant,887250.0,347790.0,9,1,0,2024-08-01,2025-10-17 15:42:02.200,2025-11-14T00:05:35.864066+00:00,users,v1.0,Urbain,46,F,AUTONOME D'ABIDJAN
f0ac2827-3bde-4af3-a46e-ef3102a02750,1984-12-02 11:40:55.695,dr.,Divorcé(e),0,1,164 boulevard lagunaire,côte d'ivoire,ANYAMA,ANYAMA,quartier central,310000.0,forward optimization director,9a0eaaba-6785-45a8-a1fb-11dd8970b3d1,Interim,230505.0,321160.0,18,3,7,2024-08-01,2025-10-17 15:42:01.817,2025-11-14T00:05:35.864066+00:00,users,v1.0,Urbain,41,M,AUTONOME D'ABIDJAN
98dece8e-1cae-4394-9171-7d93a4f1742a,1978-09-09 06:12:18.986,mrs.,Célibataire,1,7,700 boulevard françois mitterrand,côte d'ivoire,DIVO,DIVO,quartier central,785000.0,senior interactions facilitator,a55fb996-3431-4ece-8433-ddd2bac84e2f,Fonctionnaire,1798995.0,1301250.0,12,3,7,2024-08-01,2025-10-17 15:42:02.194,2025-11-14T00:05:35.864066+00:00,users,v1.0,Urbain,47,F,LÔH-DJIBOUA
